DateTime	Latitude	Longitude	Depth	Magnitude
2014-07-07	36.2402	141.2598	20.06	4.4
2014-07-08	30.5029	130.9757	61.02	4
2014-07-08	24.6519	141.4524	17.6	4.4
2014-07-08	27.6739	142.7321	42.17	4.4
2014-07-08	27.7355	142.8507	31.81	4.8
2014-07-08	27.8409	142.8875	19.01	4.6
2014-07-08	42.6676	141.3472	10	5.5
2014-07-08	39.2434	142.8375	38.43	4
2014-07-08	27.4113	140.1668	469.6	4.4
2014-07-09	36.7784	140.5184	37.65	4.1
2014-07-09	29.068	141.5141	43.44	4.1
2014-07-10	27.9094	139.3776	515.79	4.2
2014-07-10	29.0975	142.4086	25.19	4.4
2014-07-10	36.7485	140.5509	19.99	4.7
2014-07-10	35.524	141.191	23.84	4.4
2014-07-10	39.0807	143.64	17.38	4
2014-07-11	26.3117	125.8288	115.5	5.3
2014-07-11	37.0052	142.4525	20	6.5
2014-07-11	36.9093	142.4903	17.59	5.2
2014-07-11	37.0358	142.4068	9.23	5.1
2014-07-11	36.7981	142.5773	11.3	5
2014-07-11	36.907	142.4134	11.65	4.8
2014-07-11	36.86	142.6559	20.99	4.7
2014-07-11	36.782	142.8209	10	4.7
2014-07-11	36.8053	142.5571	10.59	4.5
2014-07-11	36.8633	142.5422	9.84	4.6
2014-07-11	36.9436	142.5819	18.15	4.8
2014-07-11	36.865	142.4573	11.79	4.7
2014-07-11	36.9009	142.5172	23.26	4.5
2014-07-11	36.8584	142.4214	13.31	4.2
2014-07-11	36.8677	142.4971	10.12	4.4
2014-07-11	36.9778	142.5078	33.62	4.5
2014-07-11	36.8208	142.543	33.33	4.5
2014-07-11	36.8062	142.5412	21.28	4.3
2014-07-11	36.7669	142.4136	34.71	4.4
2014-07-11	37.1699	142.3757	10	4.4
2014-07-12	36.9841	142.6682	16.98	4.2
2014-07-12	36.9348	142.5163	27.13	4.5
2014-07-12	37.0065	142.6814	29.28	4.3
2014-07-12	37.0377	142.293	32.91	4.2
2014-07-12	38.2516	142.026	56.82	4.4
2014-07-12	36.9473	142.3437	10	4.5
2014-07-12	24.7452	141.2889	194.02	4.1
2014-07-12	36.8748	142.584	19.48	4.5
2014-07-12	36.9231	142.3595	27.38	4.5
2014-07-12	37.0385	142.6494	13.7	4.4
2014-07-13	36.823	142.4003	28.87	4
2014-07-13	37.0538	142.41	10	4.4
2014-07-13	37.0199	143.4241	10	4.7
2014-07-13	36.9658	142.6178	25.92	4.5
2014-07-13	36.8915	142.5736	10	4.2
2014-07-14	33.1235	141.9784	10	4.4
2014-07-14	33.1205	141.8942	10	4.6
2014-07-14	33.0769	141.8452	10	4.6
2014-07-14	33.1488	141.9491	7.45	4.4
2014-07-15	36.957	142.7016	10	4.3
2014-07-15	30.3394	138.7421	373.08	4.1
2014-07-15	36.9873	143.5311	17.25	4.1
2014-07-15	27.014	140.537	484.62	4.1
2014-07-15	37.0347	142.7481	24.56	4.5
2014-07-15	28.9171	142.169	22.87	4.9
2014-07-15	36.8297	142.6271	35.08	4.3
2014-07-15	36.9727	142.7316	13.01	4.3
2014-07-15	36.7091	142.4669	9.74	4.7
2014-07-16	36.9154	140.8714	36.88	4.6
2014-07-16	38.2056	140.4484	132.17	4.3
2014-07-17	40.1172	143.2544	47.33	4.1
2014-07-17	36.6445	143.0442	22.12	4.4
2014-07-18	38.4606	144.3936	22.66	4.3
2014-07-18	37.1007	142.6359	10	4.6
2014-07-18	39.7174	143.3429	25.84	4.5
2014-07-18	42.0376	144.1845	39.87	4.6
2014-07-19	36.0302	140.1164	66.4	4.6
2014-07-20	36.5102	140.6291	56.37	4.6
2014-07-20	34.8003	135.6869	373.25	4
2014-07-20	32.1242	134.3928	26.32	4.6
2014-07-20	40.0813	141.0919	80.58	4.2
2014-07-21	36.9689	142.6956	12.65	4.5
2014-07-21	35.9561	137.8883	10	4.7
